"review_id","market_id","polymarket_event_id","condition_id","gamma_title","gamma_outcome_0","gamma_token_0","gamma_outcome_1","gamma_token_1","gamma_market_end_utc","clob_game_start_utc","best_of","leaguepedia_match_id","leaguepedia_start_utc","leaguepedia_team_1","leaguepedia_team_2","leaguepedia_team_1_outcome_index","start_delta_seconds","expected_status","manual_result","error_class","review_notes"
"01","3438960","819614","0x7a547717728280c4bd3c3e316848066942ca411307c6cb9a88315ad5955b6805","LoL: RMD Gaming vs RED Academy (BO3) - Circuito Desafiante Play-In","RMD Gaming","89448963123261266038498596831291905772905176534661850700905338792415767803071","RED Academy","57741552571724285144298980056501390892111477506260776542851267284806653410374","2026-08-12T04:00:00Z","2026-08-11T22:00:00Z","3","Circuito Desafiante/2026 Season/Split 2_Play-In Round 1_2","2026-08-11T23:00:00Z","RMD Gaming","RED Academy","0","3600","NeedsReview","correctly_escalated","start_time_conflict","same teams and BO; start differs 3600 seconds"
"02","3438567","819572","0x190c81fc4cf81998941025cf2202b8007c64181139417c0f3a3ef5009bd7988a","LoL: Team Solid vs 7REX (BO3) - Circuito Desafiante Play-In","Team Solid","91038782670712461273795452696894612090439366365200670480209571746168161619401","7REX","15732621915128397274157029401741978473672038033505744332719294360942240352623","2026-08-12T02:00:00Z","2026-08-11T20:00:00Z","3","Circuito Desafiante/2026 Season/Split 2_Play-In Round 1_1","2026-08-11T20:00:00Z","Team Solid (Brazilian Team)","7REX","0","0","Matched","verified_correct","none","teams/BO/start verified; explicit alias"
"03","3417308","814882","0xfcbd4a40fd85ed5eb4452dc9c8c487c7af2a615739b7cbad1f172b58c7388501","LoL: Lodis vs Forsaken (BO3) - Rift Legends Regular Season","Lodis","107726722274393669886941399417485549571831750313320559098964520498392110314725","Forsaken","33161871498350931748924561755542461280114381324495483610334073870022891273479","2026-08-12T00:30:00Z","2026-08-11T18:30:00Z","3","Rift Legends/2026 Season/Summer Split_Round Robin Round 2_2","2026-08-11T17:30:00Z","LODIS (Polish Team)","Forsaken (Polish Team)","0","3600","NeedsReview","correctly_escalated","start_time_conflict","same teams and BO; start differs 3600 seconds"
"04","3176747","764133","0x89b2a9e59bc72bf42b9cfd7cdc8d41b44031e58db24ba089f96181e2f6ed9686","LoL: Baam Esports vs GnG Amazigh (BO3) - Arabian League Group Stage","Baam Esports","76612036474409698022276227555905443327316127398513294176547213880664684100456","GnG Amazigh","79664266392760196936341216911364986485843620221937394632091015741545834438803","2026-08-12T00:30:00Z","2026-08-11T18:30:00Z","3","Arabian League/2026 Season/Summer Split_Week 5_2","2026-08-11T18:30:00Z","Baam Esports","GnG Amazigh","0","0","Matched","verified_correct","none","teams/BO/start verified; normalized identity"
"05","3502111","830281","0x916b7eb1f7f594f2d510f766a8529e781e4eb91ef40e903bcc966fc76dbc8dc1","LoL: Dynasty vs Senshi Esports Club (BO3) - Road Of Legends Regular Season","Dynasty","59720574164615606634269733298789483119251448868590464651750414750455669749108","Senshi Esports Club","38377397358048600228539849218358447545644810031295460840108373360798670015517","2026-08-12T00:00:00Z","2026-08-11T18:00:00Z","3","Road Of Legends/2026 Season/Summer Split_Week 5_2","2026-08-11T18:00:00Z","Dynasty","Senshi eSports (Benelux Team)","0","0","Matched","verified_correct","none","teams/BO/start verified; explicit alias"
"06","3418668","815427","0x2ce142c4590c8fe3013fd8eb9e821727a7aa429cfbb6235249dd9c1b384c4b0b","LoL: VfB eSports vs Team Orange Gaming (BO3) - Prime League 1st Division Group B","VfB eSports","11835245191717280645508969325321755520812370362835053254491806144538505455371","Team Orange Gaming","516081530914310039800879093856419867006765262575726912065598702652089317220","2026-08-12T00:00:00Z","2026-08-11T18:00:00Z","3","Prime League 1st Division/2026 Season/Summer Split_Week 7_2","2026-08-11T17:00:00Z","VfB eSports","TeamOrangeGaming","0","3600","NeedsReview","correctly_escalated","start_time_conflict","same teams and BO; start differs 3600 seconds"
"07","3502089","830280","0xe964723b5a6c388821eda24a3ae5a62ac4d48ad96175ee87f289d0dd0b4b3f6b","LoL: Frites Esports Club vs mCon esports (BO3) - Road Of Legends Regular Season","Frites Esports Club","76978636376176823038008862507026102420797274840192508540714130722382278037900","mCon esports","28869742592637822547375254874906722017048964384125502699219154120578932730550","2026-08-11T23:00:00Z","2026-08-11T17:00:00Z","3","Road Of Legends/2026 Season/Summer Split_Week 5_1","2026-08-11T17:00:00Z","Frites Esports Club","mCon esports","0","0","Matched","verified_correct","none","teams/BO/start verified; normalized identity"
"08","3509879","832229","0x5b1b61bb3dfc988999aa01fe084ddeea5fce53f2ed5d7b5ca2aa0bfedb5fff25","LoL: BRUTE vs Bohemian Guardians (BO3) - Hitpoint Masters Regular Season","BRUTE","19691547170354567338130586919749382847048275334594274042244249449415706703675","Bohemian Guardians","89354065979838555320855582776072610640146562051250656180672473339147455657146","2026-08-11T22:20:00Z","2026-08-11T16:20:00Z","3","Hitpoint Masters/2026 Season/Summer Split_Week 1_2","2026-08-11T16:30:00Z","BRUTE","Bohemian Guardians","0","600","NeedsReview","correctly_escalated","start_time_conflict","same teams and BO; start differs 600 seconds"
"09","3161922","762442","0x0bb5244c0400b626121c5e9537f34760bcf8538ba35358ee6513686f0717e280","LoL: Pyramid IV Esports vs 3BL Esports (BO3) - Arabian League Group Stage","Pyramid IV Esports","31696825845226101037905003539009178342689248113424413870977975036614320402453","3BL Esports","40691129630114590295713901283863143472562067439526330914152142080260127357453","2026-08-11T22:00:00Z","2026-08-11T16:00:00Z","3","Arabian League/2026 Season/Summer Split_Week 5_1","2026-08-11T16:00:00Z","Pyramid IV Esports","3BL Esports","0","0","Matched","verified_correct","none","teams/BO/start verified; normalized identity"
"10","3417285","814881","0x54f0f631d2179f66e5afcdb56ff0d90c5e10acdfb26376dfca004d97329a69f5","LoL: Barcząca Esports vs devils.one (BO3) - Rift Legends Regular Season","Barcząca Esports","69411890994004420911885630681342402912495594101212518024097104478653761537480","devils.one","2793484566082667584977655439071102992642944841278859680714878851078107916371","2026-08-11T21:15:00Z","2026-08-11T15:15:00Z","3","Rift Legends/2026 Season/Summer Split_Round Robin Round 2_1","2026-08-11T15:00:00Z","Barcząca Esports by Yumisu","devils.one inStreamly","0","900","NeedsReview","correctly_escalated","start_time_conflict","same teams and BO; start differs 900 seconds"
