"review_id","market_id","mapping_status","gamma_title","decision_time_utc","history_window_start_utc","fidelity_minutes","outcome_0","outcome_0_point_count","outcome_0_last_point_utc","outcome_0_last_price","outcome_0_staleness_seconds","outcome_1","outcome_1_point_count","outcome_1_last_point_utc","outcome_1_last_price","outcome_1_staleness_seconds","historical_depth","historical_bid_ask","price_history","grade","grade_reason","outcome_0_source_sha256","outcome_1_source_sha256"
"01","3438960","NeedsReview","LoL: RMD Gaming vs RED Academy (BO3) - Circuito Desafiante Play-In","2026-08-11T21:45:00Z","2026-08-10T21:45:00Z","1","RMD Gaming","1440","2026-08-11T21:44:20Z","0.765","40","RED Academy","1440","2026-08-11T21:44:15Z","0.235","45","false","false","true","C","official t,p price history for both outcome tokens; no decision-time bid/ask or depth snapshot","d2bad0af4ba96c0ac34d023305096ac6644db1a45b6160560e43759d5c529f3f","6cd5aa0ccd9b677dbaae8b70a5e635ff88a200c5f9dbbea1e993cdb893422d38"
"02","3438567","Matched","LoL: Team Solid vs 7REX (BO3) - Circuito Desafiante Play-In","2026-08-11T19:45:00Z","2026-08-10T19:45:00Z","1","Team Solid","1440","2026-08-11T19:44:10Z","0.495","50","7REX","1440","2026-08-11T19:44:12Z","0.505","48","false","false","true","C","official t,p price history for both outcome tokens; no decision-time bid/ask or depth snapshot","c93478464383299b3cd057af0d8e9a6075b04932f73da9684c33ba43d2de37e3","16cac0d1cdd83c80ac31dbf0ba6c1093e36121e7df3547a7e644888640f34dd1"
"03","3417308","NeedsReview","LoL: Lodis vs Forsaken (BO3) - Rift Legends Regular Season","2026-08-11T18:15:00Z","2026-08-10T18:15:00Z","1","Lodis","1440","2026-08-11T18:14:11Z","0.645","49","Forsaken","1440","2026-08-11T18:14:10Z","0.355","50","false","false","true","C","official t,p price history for both outcome tokens; no decision-time bid/ask or depth snapshot","51f26c2321d9a294a498b014571d22202798c82e0e5e95e18dc28fbc95a39788","31448415bd7acf9dc72e9191a8e993127e46902c417b7c75c25f84c0646811a7"
"04","3176747","Matched","LoL: Baam Esports vs GnG Amazigh (BO3) - Arabian League Group Stage","2026-08-11T18:15:00Z","2026-08-10T18:15:00Z","1","Baam Esports","1440","2026-08-11T18:14:10Z","0.685","50","GnG Amazigh","1440","2026-08-11T18:14:11Z","0.315","49","false","false","true","C","official t,p price history for both outcome tokens; no decision-time bid/ask or depth snapshot","5f1e38016aeb20524dcfe050aa55563237d44d14557979c92ec9205bcfe5f19c","4a4224b36b4e44ed69edd28f0fc5a1fcc65008253fe66ea7c5cca9ae9694ce65"
"05","3502111","Matched","LoL: Dynasty vs Senshi Esports Club (BO3) - Road Of Legends Regular Season","2026-08-11T17:45:00Z","2026-08-10T17:45:00Z","1","Dynasty","1128","2026-08-11T17:44:10Z","0.265","50","Senshi Esports Club","1128","2026-08-11T17:44:11Z","0.735","49","false","false","true","C","official t,p price history for both outcome tokens; no decision-time bid/ask or depth snapshot","4d5cd1c5adf82e5c2de2c70076a4fade44a6208d84a76cb47d3d7bfd7bb260e8","f9e175e72d041657024efd6e47f3f8dddb5f467a7fc1ad2a5bcb00b484ea42d1"
"06","3418668","NeedsReview","LoL: VfB eSports vs Team Orange Gaming (BO3) - Prime League 1st Division Group B","2026-08-11T17:45:00Z","2026-08-10T17:45:00Z","1","VfB eSports","1440","2026-08-11T17:44:12Z","0.125","48","Team Orange Gaming","1440","2026-08-11T17:44:10Z","0.875","50","false","false","true","C","official t,p price history for both outcome tokens; no decision-time bid/ask or depth snapshot","9f9f7852f18f88b0cc8214f6f72819d91e87eac308099d1a05ff1593bc8fa3a5","c61031cc9c7c8ff2164f082deff23761f182302f36ffddc9bea2d7cf9e9591d0"
"07","3502089","Matched","LoL: Frites Esports Club vs mCon esports (BO3) - Road Of Legends Regular Season","2026-08-11T16:45:00Z","2026-08-10T16:45:00Z","1","Frites Esports Club","1059","2026-08-11T16:44:11Z","0.945","49","mCon esports","1059","2026-08-11T16:44:11Z","0.055","49","false","false","true","C","official t,p price history for both outcome tokens; no decision-time bid/ask or depth snapshot","5ab1ea56a238745fb9d451c222f3b29f00c0a27e413c67fd9eac5063262b0023","dfe5de2fc3381fcadd8beb6c4113f04cc64aacab8dd1c82f6c94b93d636989b7"
"08","3509879","NeedsReview","LoL: BRUTE vs Bohemian Guardians (BO3) - Hitpoint Masters Regular Season","2026-08-11T16:05:00Z","2026-08-10T16:05:00Z","1","BRUTE","458","2026-08-11T16:04:12Z","0.74","48","Bohemian Guardians","458","2026-08-11T16:04:10Z","0.26","50","false","false","true","C","official t,p price history for both outcome tokens; no decision-time bid/ask or depth snapshot","77384fdac6ebc96158ae0c9949be65557b3c4e8b408fea4c6f92f90f70d323bf","4ff96703330521675d20e2c1be0f500b58bdba1bc71443de0b9f830b832d3105"
"09","3161922","Matched","LoL: Pyramid IV Esports vs 3BL Esports (BO3) - Arabian League Group Stage","2026-08-11T15:45:00Z","2026-08-10T15:45:00Z","1","Pyramid IV Esports","1440","2026-08-11T15:44:35Z","0.81","25","3BL Esports","1440","2026-08-11T15:44:29Z","0.19","31","false","false","true","C","official t,p price history for both outcome tokens; no decision-time bid/ask or depth snapshot","e3179d498293a2a314f4a93a18d836e052a9614150e99f7350bdb627cc3f28b2","ce64f1a42d009572f91d8c971073729c9b303bb3cb0458d08b804af19421b889"
"10","3417285","NeedsReview","LoL: Barcząca Esports vs devils.one (BO3) - Rift Legends Regular Season","2026-08-11T15:00:00Z","2026-08-10T15:00:00Z","1","Barcząca Esports","1440","2026-08-11T14:59:10Z","0.115","50","devils.one","1440","2026-08-11T14:59:14Z","0.885","46","false","false","true","C","official t,p price history for both outcome tokens; no decision-time bid/ask or depth snapshot","03c32c8a75006e2cacf6d33d445f3440feeb37d117a599328b0deb59faf5e3fd","388bc69934cb79502c86a77025f55e86d0c4c63f150c0a9a5bb4c591ed66f161"
